Entity,Code,Year,Deaths,Estimate
World,OWID_WRL,1950,48788536,
World,OWID_WRL,1951,48514550,
World,OWID_WRL,1952,47646612,
World,OWID_WRL,1953,47499084,
World,OWID_WRL,1954,47002804,
World,OWID_WRL,1955,46966096,
World,OWID_WRL,1956,46806576,
World,OWID_WRL,1957,47269070,
World,OWID_WRL,1958,46782736,
World,OWID_WRL,1959,51327052,
World,OWID_WRL,1960,54973676,
World,OWID_WRL,1961,50003184,
World,OWID_WRL,1962,46406404,
World,OWID_WRL,1963,47279570,
World,OWID_WRL,1964,47065424,
World,OWID_WRL,1965,48459856,
World,OWID_WRL,1966,48043572,
World,OWID_WRL,1967,47915490,
World,OWID_WRL,1968,47947976,
World,OWID_WRL,1969,48234880,
World,OWID_WRL,1970,48534130,
World,OWID_WRL,1971,49683950,
World,OWID_WRL,1972,47961810,
World,OWID_WRL,1973,47680360,
World,OWID_WRL,1974,47493920,
World,OWID_WRL,1975,47592760,
World,OWID_WRL,1976,47407650,
World,OWID_WRL,1977,46745920,
World,OWID_WRL,1978,46859944,
World,OWID_WRL,1979,46913596,
World,OWID_WRL,1980,47316612,
World,OWID_WRL,1981,47388184,
World,OWID_WRL,1982,47561960,
World,OWID_WRL,1983,48133880,
World,OWID_WRL,1984,48341284,
World,OWID_WRL,1985,48685436,
World,OWID_WRL,1986,48487100,
World,OWID_WRL,1987,48634084,
World,OWID_WRL,1988,49284176,
World,OWID_WRL,1989,49064190,
World,OWID_WRL,1990,49619696,
World,OWID_WRL,1991,50082060,
World,OWID_WRL,1992,50181616,
World,OWID_WRL,1993,50769036,
World,OWID_WRL,1994,51519240,
World,OWID_WRL,1995,51355460,
World,OWID_WRL,1996,51518770,
World,OWID_WRL,1997,51459176,
World,OWID_WRL,1998,51761764,
World,OWID_WRL,1999,51996610,
World,OWID_WRL,2000,52099820,
World,OWID_WRL,2001,52095280,
World,OWID_WRL,2002,52481444,
World,OWID_WRL,2003,52858470,
World,OWID_WRL,2004,52965050,
World,OWID_WRL,2005,53213356,
World,OWID_WRL,2006,53015852,
World,OWID_WRL,2007,53391816,
World,OWID_WRL,2008,54037660,
World,OWID_WRL,2009,53910188,
World,OWID_WRL,2010,54329196,
World,OWID_WRL,2011,54393800,
World,OWID_WRL,2012,54789780,
World,OWID_WRL,2013,55034444,
World,OWID_WRL,2014,55217576,
World,OWID_WRL,2015,55893036,
World,OWID_WRL,2016,56200612,
World,OWID_WRL,2017,56965956,
World,OWID_WRL,2018,57351676,
World,OWID_WRL,2019,57938524,
World,OWID_WRL,2020,63174308,
World,OWID_WRL,2021,69248160,
World,OWID_WRL,2022,,67096572
World,OWID_WRL,2023,,60760148
World,OWID_WRL,2024,,60953908
World,OWID_WRL,2025,,61936810
World,OWID_WRL,2026,,62928940
World,OWID_WRL,2027,,63948976
World,OWID_WRL,2028,,65001670
World,OWID_WRL,2029,,66078556
World,OWID_WRL,2030,,67172550
World,OWID_WRL,2031,,68306260
World,OWID_WRL,2032,,69476760
World,OWID_WRL,2033,,70669150
World,OWID_WRL,2034,,71892120
World,OWID_WRL,2035,,73137320
World,OWID_WRL,2036,,74385600
World,OWID_WRL,2037,,75649200
World,OWID_WRL,2038,,76921970
World,OWID_WRL,2039,,78193560
World,OWID_WRL,2040,,79467010
World,OWID_WRL,2041,,80716504
World,OWID_WRL,2042,,81970110
World,OWID_WRL,2043,,83228150
World,OWID_WRL,2044,,84466900
World,OWID_WRL,2045,,85687870
World,OWID_WRL,2046,,86882940
World,OWID_WRL,2047,,88093656
World,OWID_WRL,2048,,89273650
World,OWID_WRL,2049,,90427750
World,OWID_WRL,2050,,91583400
World,OWID_WRL,2051,,92717680
World,OWID_WRL,2052,,93840430
World,OWID_WRL,2053,,94951860
World,OWID_WRL,2054,,96039360
World,OWID_WRL,2055,,97129640
World,OWID_WRL,2056,,98213900
World,OWID_WRL,2057,,99248800
World,OWID_WRL,2058,,100258830
World,OWID_WRL,2059,,101241330
World,OWID_WRL,2060,,102193336
World,OWID_WRL,2061,,103125540
World,OWID_WRL,2062,,104015830
World,OWID_WRL,2063,,104845176
World,OWID_WRL,2064,,105670744
World,OWID_WRL,2065,,106453860
World,OWID_WRL,2066,,107242104
World,OWID_WRL,2067,,108002440
World,OWID_WRL,2068,,108750970
World,OWID_WRL,2069,,109481870
World,OWID_WRL,2070,,110223480
World,OWID_WRL,2071,,110924890
World,OWID_WRL,2072,,111663280
World,OWID_WRL,2073,,112377620
World,OWID_WRL,2074,,113084910
World,OWID_WRL,2075,,113780020
World,OWID_WRL,2076,,114458990
World,OWID_WRL,2077,,115104264
World,OWID_WRL,2078,,115739560
World,OWID_WRL,2079,,116343496
World,OWID_WRL,2080,,116894090
World,OWID_WRL,2081,,117413700
World,OWID_WRL,2082,,117868320
World,OWID_WRL,2083,,118255830
World,OWID_WRL,2084,,118635080
World,OWID_WRL,2085,,118945000
World,OWID_WRL,2086,,119213384
World,OWID_WRL,2087,,119462820
World,OWID_WRL,2088,,119702450
World,OWID_WRL,2089,,119904920
World,OWID_WRL,2090,,120124130
World,OWID_WRL,2091,,120344590
World,OWID_WRL,2092,,120591500
World,OWID_WRL,2093,,120845110
World,OWID_WRL,2094,,121104536
World,OWID_WRL,2095,,121383336
World,OWID_WRL,2096,,121680890
World,OWID_WRL,2097,,121985850
World,OWID_WRL,2098,,122274470
World,OWID_WRL,2099,,122537590
World,OWID_WRL,2100,,122811670
